text,true_emotion,predicted_emotion
@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,anger,anger
@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended,anger,anger
"I miss my gran singing Rawhide, in her deep baritone growl.",anger,sadness
@TrussElise Obama must be fuming.. lol,anger,joy
Sting is just too damn earnest for early morning listening. #sting,anger,anger
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",anger,anger
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger,anger
@SSheil coincidentally watched Ulzana's Raid last night - brutally indignant filmmaking.,anger,anger
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",anger,joy
#oow16 #sting decent new song,anger,joy
"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.",anger,anger
It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.,anger,anger
"@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with her",anger,anger
"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger,joy
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger,anger
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger,anger
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger,anger
Lol little things like that make me so angry x,anger,anger
"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger,sadness
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming",anger,anger
Why upping rooms makes a few apprehend leaving out charcoal ownership: UnZU,fear,fear
Dunno y am going to the Yorkshire scare grounds when I only lasted a minute in the Alton towers one before running out a fire exit crying,fear,fear
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",fear,sadness
Rooney shocking attempted cross,fear,anger
@AttentiAlGatto LOL! Why would it scare me? It doesn't make any sense at all but it doesn't scare me! {chuckles},fear,joy
Tweeting from the sporadic wifi on the tube ,fear,joy
@joey_coops yes Hun! Avoid at all costs!! #nightmare,fear,anger
That's an awful miss from Rooney.,fear,sadness
If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter,fear,anger
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points ,fear,anger
Bout ta get my @dontbreathe on up in here! @WarrenTheaters #nervous #icantholdmybreaththatlong,fear,fear
@joey_coops yes Hun! Avoid at all costs!! ,fear,anger
Not the best horror ever but I like that the uncertainty,fear,joy
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius ,fear,anger
T5ylw ansh a79l shy 7lw mn wayed nas fe whatsapp,fear,joy
Trying to book holiday flights on @britishairways website is becoming a ,fear,anger
I have been seeing terrible terrible prescriptions this week. What's going on?,fear,anger
"@madhav_pastey moral of the story, never check mails in the night. PS. Most notices have nothing much to worry about. @ashwinikn",fear,fear
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea #horrible",fear,anger
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? ,fear,fear
@billie21806 @cnnbrk tell that to your bodies cheering on the deaths of black people by cops. their fear is killing us.,joy,anger
